time	sn_day_avg	sn_day_max	sn_day_min	sm_day_avg	sm_day_max	sm_day_min	sx_day_avg	sx_day_max	sx_day_min	dn_day_avg	dn_day_max	dn_day_min	dm_day_avg	dm_day_max	dm_day_min	dx_day_avg	dx_day_max	dx_day_min	ta_day_avg	ta_day_max	ta_day_min	pa_day_avg	pa_day_max	pa_day_min	ua_day_avg	ua_day_max	ua_day_min	rc_day_avg	rc_day_max	rc_day_min	rd_day_avg	rd_day_max	rd_day_min	ri_day_avg	ri_day_max	ri_day_min	
2018-03-11 00:00:00+01	0.34	2.60	0.00	0.97	3.90	0.10	1.64	6.10	0.30	191.87	359.00	0.00	162.22	359.00	0.00	177.00	359.00	0.00	10.02	17.60	2.70	979.09	981.90	976.00	55.20	74.20	36.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-12 00:00:00+01	0.89	5.30	0.00	2.54	10.00	0.20	4.19	14.80	0.40	145.83	359.00	0.00	170.96	345.00	1.00	209.87	358.00	0.00	12.30	17.80	8.10	970.97	975.50	968.80	52.35	68.90	34.20	0.02	0.02	0.00	293.39	350.00	0.00	0.00	0.20	0.00	
2018-03-13 00:00:00+01	0.75	4.60	0.00	2.35	7.40	0.20	3.88	11.30	0.40	204.83	317.00	41.00	257.35	342.00	3.00	252.30	359.00	0.00	10.77	13.40	8.20	975.35	978.80	971.70	54.96	66.10	42.80	0.02	0.02	0.00	228.00	350.00	0.00	0.00	0.20	0.00	
2018-03-14 00:00:00+01	0.58	3.80	0.00	1.60	5.60	0.10	2.54	7.90	0.30	211.30	345.00	1.00	257.43	359.00	0.00	233.96	359.00	0.00	5.98	8.30	4.10	981.52	984.30	978.60	71.98	78.20	60.20	0.31	0.98	0.00	1594.83	5860.00	0.00	0.04	4.50	0.00	
2018-03-15 00:00:00+01	0.49	3.00	0.00	1.65	4.60	0.10	2.88	6.70	0.30	172.26	359.00	0.00	103.70	359.00	0.00	140.09	359.00	0.00	4.75	6.70	3.30	983.25	984.20	981.80	68.20	79.10	55.10	0.04	0.98	0.00	259.04	5860.00	0.00	0.00	0.00	0.00	
2018-03-16 00:00:00+01	0.71	4.30	0.00	2.22	6.40	0.20	3.79	9.20	0.30	189.87	359.00	0.00	63.96	359.00	0.00	116.48	357.00	4.00	2.93	6.60	-2.50	976.99	981.40	972.90	79.14	81.70	73.80	1.33	3.53	0.00	9956.26	25760.00	0.00	0.14	1.90	0.00	
2018-03-17 00:00:00+01	1.00	4.20	0.00	3.78	8.70	0.90	6.90	15.20	2.00	184.70	359.00	0.00	59.22	357.00	0.00	123.00	235.00	26.00	-4.41	-2.50	-6.20	983.27	985.00	978.90	66.43	75.20	57.10	0.16	3.53	0.00	1138.65	25760.00	0.00	0.00	0.00	0.00	
2018-03-18 00:00:00+01	1.00	4.30	0.10	4.52	8.80	1.20	8.71	15.10	2.80	188.87	359.00	0.00	67.22	103.00	24.00	139.78	237.00	61.00	-6.72	-4.40	-8.80	986.03	987.20	984.40	55.49	70.10	46.00	0.00	0.00	0.00	0.43	10.00	0.00	0.00	0.00	0.00	
2018-03-19 00:00:00+01	0.67	3.50	0.00	2.75	7.50	0.30	5.05	11.20	0.70	163.78	359.00	0.00	70.26	357.00	6.00	137.13	251.00	37.00	-5.93	-4.70	-7.20	984.36	986.10	982.50	61.92	67.00	54.40	0.00	0.00	0.00	0.43	10.00	0.00	0.00	0.00	0.00	
2018-03-20 00:00:00+01	0.56	3.20	0.00	1.52	3.90	0.30	2.45	5.40	0.60	227.09	359.00	0.00	239.26	359.00	0.00	175.87	359.00	0.00	-4.03	-2.50	-5.50	983.99	989.70	981.10	63.53	73.10	54.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-21 00:00:00+01	0.79	4.10	0.00	2.21	7.00	0.10	3.64	10.70	0.30	245.61	359.00	1.00	238.30	359.00	0.00	163.87	359.00	0.00	-1.14	1.70	-3.90	994.52	997.20	990.10	47.62	66.40	33.00	0.00	0.00	0.00	6.61	20.00	0.00	0.00	0.00	0.00	
2018-03-22 00:00:00+01	0.59	5.20	0.00	1.68	7.10	0.10	2.77	10.10	0.20	199.39	346.00	1.00	249.39	357.00	6.00	234.39	359.00	0.00	0.68	6.50	-4.90	990.43	996.90	984.60	42.59	59.30	22.10	0.00	0.00	0.00	0.87	20.00	0.00	0.00	0.00	0.00	
2018-03-23 00:00:00+01	0.45	3.30	0.00	1.15	4.40	0.10	1.88	5.60	0.20	230.30	359.00	0.00	219.52	359.00	0.00	160.09	359.00	0.00	1.58	6.30	-4.50	979.78	983.70	977.80	53.08	70.70	37.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-24 00:00:00+01	0.43	3.10	0.00	1.47	5.10	0.10	2.56	7.50	0.30	161.35	359.00	0.00	112.09	359.00	0.00	164.78	359.00	0.00	3.03	7.70	-1.70	980.19	982.20	978.60	53.68	73.40	38.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-25 00:00:00+01	0.37	2.20	0.00	1.06	3.20	0.10	1.76	5.00	0.20	181.83	359.00	0.00	197.57	358.00	0.00	208.30	359.00	0.00	4.57	11.90	-1.80	983.73	985.00	982.20	52.21	73.40	32.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-26 01:00:00+02	0.43	3.10	0.00	1.19	4.60	0.10	1.94	6.40	0.40	192.13	357.00	1.00	234.13	359.00	3.00	220.87	359.00	0.00	4.14	7.70	0.10	985.00	985.60	984.40	54.20	65.50	40.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-03-27 01:00:00+02	0.60	2.80	0.00	1.59	5.00	0.10	2.51	9.30	0.30	216.87	359.00	0.00	234.22	359.00	0.00	190.13	359.00	0.00	3.10	5.30	1.40	985.99	987.30	984.80	67.11	78.00	57.00	0.20	0.38	0.00	2164.96	4070.00	0.00	0.01	0.70	0.00	
2018-03-28 01:00:00+02	0.41	3.00	0.00	1.53	4.70	0.10	2.73	8.40	0.20	181.78	359.00	0.00	123.87	359.00	0.00	160.70	359.00	0.00	4.23	8.50	-0.50	983.24	986.40	978.30	58.98	74.90	43.50	0.02	0.39	0.00	180.70	4140.00	0.00	0.00	0.00	0.00	
2018-03-29 01:00:00+02	0.43	3.80	0.00	1.35	8.40	0.10	2.27	10.70	0.30	195.86	359.00	0.00	198.45	358.00	0.00	197.73	359.00	0.00	7.26	10.70	4.30	978.71	983.50	975.40	65.56	78.40	54.70	0.98	1.23	0.00	6706.36	8240.00	0.00	0.05	2.00	0.00	
2018-03-30 01:00:00+02	0.38	3.40	0.00	1.24	5.20	0.10	2.13	7.10	0.20	175.68	359.00	0.00	169.64	357.00	0.00	192.32	359.00	0.00	9.38	14.60	3.60	982.82	985.20	978.80	52.04	75.80	28.10	0.12	1.23	0.00	883.95	8240.00	0.00	0.01	2.20	0.00	
2018-03-31 01:00:00+02	0.49	3.50	0.00	1.42	5.80	0.10	2.34	9.00	0.30	136.83	359.00	0.00	111.00	358.00	1.00	163.78	358.00	1.00	10.76	16.90	7.20	973.01	979.00	966.40	67.54	79.90	38.60	0.98	3.39	0.00	4140.70	12430.00	0.00	0.13	6.00	0.00	
2018-04-01 01:00:00+02	1.05	4.60	0.00	3.81	9.50	0.10	6.59	16.30	0.30	218.52	355.00	56.00	276.39	358.00	57.00	227.35	359.00	0.00	5.30	9.50	3.00	969.68	976.00	965.50	69.97	81.40	57.30	0.25	3.39	0.00	2019.17	12430.00	0.00	0.01	0.40	0.00	
2018-04-02 01:00:00+02	1.06	4.80	0.00	3.88	9.60	0.10	6.92	15.40	0.30	208.70	359.00	11.00	263.70	359.00	0.00	217.65	359.00	0.00	5.81	11.00	2.10	982.33	986.20	975.90	49.88	71.70	29.50	0.02	0.18	0.00	404.48	2750.00	0.00	0.00	0.10	0.00	
2018-04-03 01:00:00+02	0.52	5.00	0.00	1.53	7.30	0.10	2.49	9.80	0.30	216.91	359.00	0.00	212.78	359.00	0.00	183.96	359.00	0.00	11.58	20.90	1.30	983.80	985.80	982.30	42.68	66.90	23.20	0.00	0.02	0.00	15.91	360.00	0.00	0.00	0.00	0.00	
2018-04-04 01:00:00+02	0.40	2.30	0.00	0.98	3.60	0.10	1.55	5.30	0.20	213.65	359.00	0.00	211.30	359.00	0.00	196.96	359.00	0.00	13.64	20.90	5.40	981.98	984.20	980.20	46.33	68.50	29.30	0.02	0.04	0.00	30.83	70.00	0.00	0.00	2.00	0.00	
2018-04-05 01:00:00+02	0.79	3.80	0.00	2.35	6.70	0.10	3.83	11.60	0.20	212.09	359.00	1.00	242.70	359.00	1.00	229.39	359.00	0.00	13.15	18.10	5.50	982.51	987.10	979.50	49.67	72.70	30.20	0.00	0.04	0.00	12.70	300.00	0.00	0.00	0.20	0.00	
2018-04-06 01:00:00+02	0.74	4.30	0.00	2.40	8.20	0.20	4.02	11.40	0.40	238.65	357.00	1.00	263.70	359.00	0.00	188.13	359.00	0.00	9.08	12.50	3.90	994.53	999.00	987.00	50.37	71.00	33.80	0.08	0.09	0.00	895.13	1040.00	0.00	0.00	0.60	0.00	
2018-04-07 01:00:00+02	0.55	3.40	0.00	1.98	6.10	0.10	3.57	10.40	0.20	160.00	359.00	0.00	95.70	359.00	0.00	142.35	359.00	2.00	10.55	18.00	2.60	996.73	999.00	994.40	45.96	65.90	29.40	0.00	0.09	0.00	45.96	1040.00	0.00	0.00	0.00	0.00	
2018-04-08 01:00:00+02	0.68	4.20	0.00	2.13	7.10	0.10	3.71	10.60	0.30	152.78	359.00	0.00	143.65	359.00	0.00	169.17	359.00	0.00	16.03	24.00	6.40	989.96	994.40	985.90	48.12	75.60	25.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-09 01:00:00+02	0.70	4.60	0.00	2.00	7.40	0.10	3.32	11.40	0.40	156.26	359.00	0.00	167.87	359.00	0.00	205.57	359.00	0.00	19.76	26.90	11.90	983.09	986.00	980.60	35.36	56.40	19.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-10 01:00:00+02	0.49	4.10	0.00	1.36	6.40	0.10	2.18	10.20	0.20	187.00	359.00	0.00	218.70	359.00	0.00	211.52	359.00	0.00	15.90	21.20	9.00	982.80	983.60	982.10	46.44	69.70	30.30	0.03	0.07	0.00	116.91	270.00	0.00	0.00	1.20	0.00	
2018-04-11 01:00:00+02	0.39	2.60	0.00	1.12	4.10	0.10	1.87	6.40	0.30	191.43	359.00	0.00	190.13	359.00	0.00	160.74	359.00	0.00	15.93	21.50	9.50	983.91	984.50	983.10	45.49	68.70	28.00	0.00	0.07	0.00	11.96	270.00	0.00	0.00	0.00	0.00	
2018-04-12 01:00:00+02	0.54	3.20	0.00	1.83	5.90	0.10	3.21	9.40	0.30	163.13	359.00	0.00	136.09	359.00	0.00	167.43	359.00	0.00	17.63	26.60	7.10	983.61	985.30	981.50	44.01	73.60	21.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-13 01:00:00+02	0.52	3.60	0.00	1.63	7.50	0.10	2.72	13.80	0.40	161.70	359.00	0.00	139.09	359.00	2.00	167.61	359.00	0.00	16.75	23.00	12.20	984.94	990.50	982.80	56.45	74.20	32.70	0.59	1.55	0.00	1184.74	3210.00	0.00	0.07	8.60	0.00	
2018-04-14 01:00:00+02	0.52	4.60	0.00	1.66	7.30	0.10	2.81	10.50	0.30	231.91	359.00	0.00	246.35	359.00	0.00	191.26	359.00	0.00	16.24	23.10	7.70	993.64	995.40	990.50	45.97	79.30	22.20	0.07	1.55	0.00	144.09	3210.00	0.00	0.00	0.00	0.00	
2018-04-15 01:00:00+02	0.44	2.80	0.00	1.37	4.30	0.10	2.36	6.40	0.30	182.61	359.00	0.00	137.70	359.00	0.00	153.35	359.00	0.00	17.78	24.20	8.80	991.11	995.00	986.90	41.97	69.80	23.90	0.00	0.00	0.00	6.70	10.00	0.00	0.00	0.00	0.00	
2018-04-16 01:00:00+02	0.51	4.10	0.00	1.54	6.20	0.10	2.56	9.50	0.30	195.04	359.00	0.00	196.00	359.00	0.00	193.78	359.00	0.00	17.98	24.00	13.40	986.48	989.20	985.20	52.94	80.60	30.10	0.18	0.89	0.00	1272.70	4010.00	0.00	0.03	4.90	0.00	
2018-04-17 01:00:00+02	0.72	3.60	0.00	2.09	5.90	0.20	3.41	8.20	0.50	241.17	358.00	0.00	263.00	359.00	0.00	196.09	359.00	0.00	14.89	18.40	10.50	995.34	1001.70	989.10	64.12	81.00	42.30	0.04	0.89	0.00	177.26	4010.00	0.00	0.00	0.00	0.00	
2018-04-18 01:00:00+02	0.53	3.50	0.00	1.51	5.20	0.10	2.53	8.00	0.30	227.74	359.00	5.00	246.26	359.00	0.00	173.78	359.00	0.00	14.77	22.10	7.50	1003.57	1004.90	1001.80	50.33	81.80	19.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-19 01:00:00+02	0.81	4.40	0.00	2.22	7.30	0.20	3.63	11.00	0.40	248.74	359.00	32.00	259.83	359.00	0.00	150.83	359.00	0.00	16.26	23.90	7.50	1001.89	1004.60	999.40	48.74	72.50	28.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-20 01:00:00+02	0.33	3.30	0.00	1.00	4.10	0.10	1.72	5.60	0.20	197.22	359.00	0.00	184.26	359.00	0.00	172.43	359.00	0.00	15.80	22.80	8.40	999.46	1001.50	994.70	39.57	68.40	17.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-21 01:00:00+02	0.80	4.50	0.00	2.36	7.50	0.20	3.89	11.80	0.40	231.52	359.00	0.00	247.96	359.00	0.00	198.52	359.00	0.00	18.59	27.30	7.00	990.80	994.70	987.70	41.13	69.30	24.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-22 01:00:00+02	0.49	4.30	0.00	1.53	6.80	0.10	2.61	9.20	0.40	236.52	359.00	0.00	222.35	359.00	0.00	136.70	359.00	0.00	17.47	23.40	11.00	989.72	991.20	987.50	32.67	49.50	18.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-23 01:00:00+02	0.49	4.50	0.00	1.53	9.20	0.10	2.56	14.20	0.40	194.61	359.00	0.00	218.91	359.00	0.00	193.48	359.00	0.00	16.33	24.90	7.40	986.68	988.90	984.10	49.58	80.20	28.10	0.23	1.46	0.00	653.65	3950.00	0.00	0.06	5.30	0.00	
2018-04-24 01:00:00+02	0.64	4.50	0.00	1.92	6.90	0.10	3.13	10.40	0.40	210.30	358.00	10.00	261.78	355.00	4.00	240.91	359.00	0.00	16.86	20.90	13.10	987.99	990.00	986.40	58.76	81.50	36.40	0.06	1.46	0.00	174.61	3950.00	0.00	0.00	0.00	0.00	
2018-04-25 01:00:00+02	0.89	6.40	0.00	2.83	10.10	0.10	4.77	15.60	0.40	205.65	353.00	2.00	258.26	359.00	1.00	225.78	359.00	0.00	18.65	25.00	10.60	983.73	987.50	979.70	47.39	77.40	25.20	0.04	0.38	0.00	82.43	780.00	0.00	0.02	4.90	0.00	
2018-04-26 01:00:00+02	0.63	5.30	0.00	1.86	8.40	0.10	3.04	11.40	0.30	210.26	359.00	8.00	258.96	357.00	0.00	227.30	359.00	0.00	13.49	17.50	7.20	986.66	990.90	984.60	58.01	76.80	35.50	0.30	1.01	0.00	1026.26	2560.00	0.00	0.04	14.50	0.00	
2018-04-27 01:00:00+02	0.48	2.90	0.00	1.49	5.50	0.10	2.53	7.50	0.30	173.09	359.00	0.00	201.52	359.00	0.00	196.96	359.00	0.00	11.86	18.50	4.70	990.93	993.00	988.50	49.83	81.20	25.30	0.04	1.01	0.00	113.17	2560.00	0.00	0.00	0.00	0.00	
2018-04-28 01:00:00+02	0.39	3.30	0.00	1.16	5.20	0.10	1.94	6.80	0.20	211.96	359.00	0.00	223.30	359.00	0.00	191.17	359.00	0.00	17.86	27.40	6.80	987.48	988.60	986.20	44.22	68.70	23.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-04-29 01:00:00+02	0.41	3.70	0.00	1.29	5.40	0.10	2.21	8.60	0.30	168.74	359.00	0.00	160.65	359.00	0.00	165.96	359.00	0.00	21.23	28.90	13.00	984.90	987.50	982.60	47.44	69.70	23.30	0.02	0.06	0.00	157.39	380.00	0.00	0.00	1.60	0.00	
2018-04-30 01:00:00+02	0.71	5.30	0.00	1.98	8.80	0.10	3.28	12.50	0.30	180.00	359.00	0.00	192.87	359.00	1.00	204.70	359.00	0.00	21.89	27.50	14.70	980.53	983.00	978.50	44.63	73.90	26.50	0.01	0.06	0.00	23.83	380.00	0.00	0.00	0.80	0.00	
2018-05-01 01:00:00+02	0.52	4.10	0.00	1.65	7.00	0.10	2.79	11.00	0.20	209.17	359.00	6.00	236.13	359.00	0.00	205.26	359.00	0.00	20.88	26.30	14.40	983.00	987.30	981.40	40.84	69.30	17.80	0.01	0.01	0.00	31.70	50.00	0.00	0.00	0.10	0.00	
2018-05-02 01:00:00+02	0.56	3.50	0.00	1.75	5.20	0.10	2.97	8.60	0.40	144.70	359.00	0.00	113.26	359.00	0.00	140.61	359.00	0.00	19.21	25.30	13.30	987.21	989.60	984.60	52.87	72.50	35.10	0.00	0.01	0.00	33.52	50.00	0.00	0.00	0.00	0.00	
2018-05-03 01:00:00+02	0.54	4.60	0.00	1.64	7.90	0.10	2.73	11.80	0.30	172.52	359.00	0.00	168.61	359.00	0.00	173.57	359.00	0.00	22.31	29.40	14.00	983.74	987.00	982.00	45.64	72.90	23.40	0.00	0.00	0.00	2.22	50.00	0.00	0.00	0.00	0.00	
2018-05-04 01:00:00+02	0.78	3.80	0.00	2.15	5.60	0.20	3.53	8.20	0.50	261.83	359.00	0.00	214.52	359.00	0.00	127.30	359.00	0.00	18.52	24.10	14.70	990.66	994.70	986.90	56.17	76.70	38.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-05 01:00:00+02	0.84	3.80	0.00	2.22	6.30	0.20	3.63	8.50	0.60	261.96	359.00	0.00	102.22	359.00	0.00	73.91	359.00	0.00	16.29	21.40	12.00	995.70	996.90	994.50	43.25	67.60	26.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-06 01:00:00+02	0.79	4.30	0.00	2.36	6.70	0.10	3.96	11.90	0.40	179.78	359.00	0.00	59.87	359.00	1.00	109.65	356.00	1.00	15.57	20.80	10.00	996.42	997.40	995.00	38.19	54.30	25.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-07 01:00:00+02	0.65	4.40	0.00	1.94	6.60	0.10	3.29	9.90	0.40	191.70	359.00	0.00	128.35	359.00	0.00	143.00	359.00	0.00	16.35	22.20	7.80	993.64	996.00	990.50	41.43	73.10	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-08 01:00:00+02	0.55	3.70	0.00	1.69	5.50	0.10	2.82	8.80	0.40	171.82	359.00	0.00	149.05	359.00	0.00	148.32	359.00	0.00	16.64	20.60	12.40	987.71	990.50	984.70	54.37	80.80	42.20	0.73	7.84	0.00	1361.14	6520.00	0.00	0.35	35.10	0.00	
2018-05-09 01:00:00+02	0.52	4.00	0.00	1.67	7.40	0.10	2.85	13.20	0.30	172.11	359.00	0.00	134.89	359.00	0.00	140.00	359.00	0.00	19.45	25.80	13.80	983.30	984.30	981.40	61.84	83.90	35.20	2.25	9.64	0.00	611.83	2760.00	0.00	0.53	78.80	0.00	
2018-05-10 01:00:00+02	0.76	4.70	0.00	2.47	7.90	0.10	4.30	12.40	0.30	114.83	359.00	0.00	102.48	358.00	1.00	155.70	358.00	3.00	20.66	26.30	14.30	984.79	988.30	982.80	50.08	82.60	23.90	0.43	9.64	0.00	122.00	2760.00	0.00	0.00	0.00	0.00	
2018-05-11 01:00:00+02	0.43	3.20	0.00	1.28	5.70	0.10	2.13	9.30	0.40	201.96	359.00	0.00	228.00	359.00	0.00	195.91	359.00	0.00	19.24	27.50	12.80	990.34	991.80	988.20	55.43	77.10	27.30	0.00	0.00	0.00	5.65	20.00	0.00	0.00	0.00	0.00	
2018-05-12 01:00:00+02	0.60	3.20	0.00	1.83	5.70	0.10	3.05	8.70	0.30	148.00	359.00	0.00	125.09	359.00	0.00	166.74	359.00	1.00	19.10	24.00	13.30	990.42	991.60	988.90	48.31	81.40	19.40	0.00	0.00	0.00	0.87	20.00	0.00	0.00	0.00	0.00	
2018-05-13 01:00:00+02	0.73	5.70	0.00	2.44	7.80	0.20	4.24	11.70	0.40	147.39	359.00	0.00	78.00	357.00	0.00	134.04	349.00	15.00	18.80	24.50	11.80	987.69	989.80	985.10	37.54	56.00	22.80	0.00	0.01	0.00	28.48	210.00	0.00	0.00	0.50	0.00	
2018-05-14 01:00:00+02	0.78	4.10	0.00	2.52	7.60	0.30	4.30	11.00	0.80	108.57	359.00	0.00	79.39	343.00	11.00	134.43	311.00	36.00	14.75	18.20	11.10	988.04	989.30	987.00	48.62	64.50	37.30	0.00	0.01	0.00	9.30	210.00	0.00	0.00	0.00	0.00	
2018-05-15 01:00:00+02	0.63	3.10	0.00	1.91	5.40	0.10	3.20	9.50	0.30	147.70	359.00	0.00	87.17	359.00	0.00	125.61	359.00	1.00	13.32	16.50	9.20	985.35	987.10	983.60	65.47	80.60	47.90	0.21	0.52	0.00	1447.52	3520.00	0.00	0.02	1.20	0.00	
2018-05-16 01:00:00+02	0.38	2.20	0.00	1.06	2.90	0.10	1.72	4.40	0.30	211.09	359.00	0.00	232.65	359.00	0.00	187.30	359.00	0.00	13.21	15.80	9.70	982.75	984.00	981.70	74.86	83.00	62.70	0.11	0.52	0.00	1265.22	3520.00	0.00	0.01	0.80	0.00	
2018-05-17 01:00:00+02	1.13	6.00	0.10	3.26	7.60	0.90	5.24	10.10	1.80	197.87	271.00	73.00	250.09	318.00	210.00	257.70	359.00	0.00	13.28	14.10	12.50	981.41	982.50	980.40	78.38	83.30	70.30	2.70	10.44	0.00	8895.52	25180.00	10.00	0.33	15.00	0.00	
2018-05-18 01:00:00+02	0.77	3.70	0.00	2.65	7.00	0.50	4.52	11.10	1.30	211.91	283.00	83.00	269.13	316.00	222.00	257.22	359.00	0.00	13.51	14.10	12.90	986.60	989.80	982.40	76.80	83.20	69.80	1.19	10.56	0.00	2816.87	25960.00	0.00	0.04	7.20	0.00	
2018-05-19 01:00:00+02	0.73	4.80	0.00	2.24	6.80	0.10	3.68	10.90	0.40	243.74	359.00	0.00	254.52	359.00	0.00	190.00	359.00	0.00	15.70	20.70	11.80	991.71	994.60	989.50	58.47	78.30	27.90	0.04	0.93	0.00	96.35	2180.00	0.00	0.00	0.00	0.00	
2018-05-20 01:00:00+02	0.60	4.70	0.00	1.74	6.60	0.10	2.90	9.90	0.30	164.87	359.00	0.00	116.26	359.00	0.00	153.04	359.00	0.00	15.90	20.80	9.70	996.09	997.30	994.50	50.30	78.50	25.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-21 01:00:00+02	0.72	4.10	0.00	2.42	8.80	0.20	4.22	12.10	0.40	154.57	359.00	0.00	118.04	359.00	0.00	130.74	359.00	0.00	15.92	20.60	8.90	994.10	996.80	990.30	45.66	73.50	28.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-22 01:00:00+02	0.41	3.20	0.00	1.26	4.00	0.10	2.12	5.40	0.30	165.22	359.00	0.00	153.04	359.00	0.00	174.17	359.00	0.00	19.05	26.10	11.10	989.49	990.80	988.70	46.17	69.50	29.10	0.06	0.07	0.00	246.00	330.00	0.00	0.00	1.30	0.00	
2018-05-23 01:00:00+02	0.56	3.40	0.00	1.65	6.50	0.10	2.72	10.10	0.40	175.13	359.00	0.00	141.43	359.00	0.00	159.70	359.00	0.00	19.03	24.80	13.60	993.04	995.00	990.80	59.59	76.80	37.80	0.03	0.07	0.00	304.09	410.00	0.00	0.00	0.80	0.00	
2018-05-24 01:00:00+02	0.84	3.80	0.00	2.51	6.60	0.20	4.18	9.70	0.40	153.57	359.00	0.00	60.43	357.00	1.00	110.91	356.00	15.00	19.82	24.30	15.40	994.57	995.90	992.60	46.73	72.10	30.60	0.00	0.04	0.00	18.13	410.00	0.00	0.00	0.00	0.00	
2018-05-25 01:00:00+02	0.66	3.90	0.00	2.00	6.40	0.10	3.35	9.70	0.30	151.65	359.00	0.00	81.30	359.00	0.00	120.78	340.00	0.00	19.80	24.90	13.60	992.56	994.00	991.10	47.24	66.50	30.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-26 01:00:00+02	0.40	2.90	0.00	1.21	4.50	0.10	2.05	7.70	0.30	169.78	359.00	0.00	189.43	359.00	0.00	185.22	359.00	0.00	20.45	27.10	13.60	994.68	995.60	993.60	54.64	77.20	30.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-27 01:00:00+02	0.49	3.50	0.00	1.54	5.60	0.10	2.63	8.50	0.30	166.52	359.00	0.00	126.87	359.00	0.00	141.91	359.00	0.00	22.21	27.70	15.40	994.71	995.60	993.40	54.71	80.10	33.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-28 01:00:00+02	0.73	4.70	0.00	2.41	6.80	0.20	4.19	10.30	0.50	112.83	359.00	0.00	86.78	352.00	0.00	145.17	331.00	32.00	22.68	27.80	17.10	995.48	996.60	994.40	43.61	65.40	26.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-29 01:00:00+02	0.55	3.20	0.00	1.69	5.80	0.10	2.84	9.70	0.30	153.91	359.00	0.00	139.00	358.00	0.00	171.78	359.00	0.00	22.03	29.70	15.00	993.06	995.20	991.00	42.78	61.10	23.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-30 01:00:00+02	0.47	3.40	0.00	1.29	6.40	0.10	2.12	8.40	0.30	217.78	359.00	0.00	198.22	359.00	0.00	155.22	359.00	0.00	22.42	28.40	15.30	991.57	992.80	990.40	49.62	72.10	29.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-05-31 01:00:00+02	0.39	3.70	0.00	1.11	5.90	0.10	1.83	7.70	0.20	182.74	359.00	0.00	184.39	359.00	0.00	183.39	359.00	0.00	23.54	30.00	16.90	990.40	991.40	989.20	48.89	75.10	25.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-06-01 01:00:00+02	0.52	3.90	0.00	1.52	6.30	0.10	2.56	11.00	0.30	176.43	359.00	0.00	185.91	359.00	0.00	175.43	359.00	0.00	23.38	30.80	15.80	989.90	991.20	988.20	47.38	75.60	20.10	2.06	12.79	0.00	287.87	1810.00	0.00	0.57	80.50	0.00	
2018-06-02 01:00:00+02	0.66	5.40	0.00	1.96	7.50	0.10	3.19	11.80	0.20	203.35	353.00	1.00	247.48	356.00	0.00	232.48	359.00	0.00	20.37	25.50	17.10	988.27	989.30	987.10	67.38	79.30	46.40	1.72	12.79	0.00	1412.96	3910.00	0.00	0.12	47.50	0.00	
2018-06-03 01:00:00+02	0.68	3.10	0.00	2.01	4.90	0.10	3.25	7.70	0.30	210.61	317.00	26.00	264.65	350.00	8.00	238.22	359.00	0.00	20.18	25.00	17.50	988.81	990.30	987.80	67.72	82.00	46.70	0.53	2.90	0.00	2327.87	3910.00	0.00	0.02	2.80	0.00	
