time	sn_day_avg	sn_day_max	sn_day_min	sm_day_avg	sm_day_max	sm_day_min	sx_day_avg	sx_day_max	sx_day_min	dn_day_avg	dn_day_max	dn_day_min	dm_day_avg	dm_day_max	dm_day_min	dx_day_avg	dx_day_max	dx_day_min	ta_day_avg	ta_day_max	ta_day_min	pa_day_avg	pa_day_max	pa_day_min	ua_day_avg	ua_day_max	ua_day_min	rc_day_avg	rc_day_max	rc_day_min	rd_day_avg	rd_day_max	rd_day_min	ri_day_avg	ri_day_max	ri_day_min	
2018-01-19 00:00:00+01	1.15	7.50	0.00	3.82	14.00	0.20	6.53	20.70	0.50	203.52	289.00	68.00	259.39	342.00	24.00	248.61	359.00	0.00	2.78	6.00	0.30	976.84	983.90	966.70	61.71	76.50	46.20	0.01	0.24	0.00	116.04	1340.00	0.00	0.00	0.10	0.00	
2018-01-20 00:00:00+01	0.39	3.70	0.00	0.96	5.10	0.10	1.50	6.90	0.30	188.39	359.00	0.00	221.09	358.00	0.00	225.78	359.00	0.00	0.71	2.60	-2.70	982.50	984.20	979.10	73.31	78.60	61.30	0.00	0.01	0.00	58.39	130.00	0.00	0.00	0.20	0.00	
2018-01-21 00:00:00+01	0.53	3.00	0.00	1.64	5.90	0.10	2.76	9.00	0.40	237.57	359.00	0.00	139.74	359.00	0.00	93.78	359.00	0.00	-0.84	0.00	-3.50	981.70	989.60	977.80	78.12	80.90	71.20	0.00	0.01	0.00	11.00	130.00	0.00	0.00	0.00	0.00	
2018-01-22 00:00:00+01	0.50	3.10	0.00	1.67	4.80	0.10	2.92	6.90	0.40	146.35	359.00	0.00	125.09	359.00	0.00	160.30	359.00	0.00	-1.67	0.00	-3.40	989.39	990.70	988.00	70.92	77.50	54.90	0.02	0.02	0.00	252.39	280.00	0.00	0.00	0.10	0.00	
2018-01-23 00:00:00+01	0.38	2.30	0.00	1.28	3.20	0.20	2.22	5.00	0.50	156.52	359.00	0.00	71.65	358.00	0.00	136.30	355.00	8.00	-2.71	-1.20	-4.30	995.76	1000.80	989.30	71.35	76.20	65.20	0.01	0.02	0.00	145.52	280.00	0.00	0.00	0.50	0.00	
2018-01-24 00:00:00+01	0.30	1.80	0.00	0.76	2.50	0.10	1.25	3.60	0.20	198.74	359.00	0.00	199.00	359.00	0.00	191.13	359.00	0.00	2.05	7.10	-1.80	998.17	1000.50	995.50	66.79	76.60	55.80	0.00	0.02	0.00	22.13	200.00	0.00	0.00	0.00	0.00	
2018-01-25 00:00:00+01	0.29	1.50	0.00	0.64	2.10	0.10	1.01	2.70	0.30	224.17	359.00	0.00	224.35	359.00	0.00	204.74	359.00	0.00	3.64	10.90	-0.30	993.36	995.30	992.40	65.21	76.60	42.70	0.00	0.00	0.00	1.78	40.00	0.00	0.00	0.00	0.00	
2018-01-26 00:00:00+01	0.28	1.20	0.00	0.64	1.80	0.10	1.01	2.40	0.20	227.04	355.00	0.00	242.65	359.00	0.00	209.00	359.00	0.00	1.33	5.50	-2.10	993.00	996.80	991.50	69.51	77.60	55.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-01-27 00:00:00+01	0.35	1.50	0.00	0.79	2.30	0.10	1.21	3.60	0.20	196.13	353.00	11.00	237.83	359.00	0.00	233.13	359.00	0.00	1.61	3.80	-1.40	1002.17	1005.20	997.40	77.13	82.20	71.30	0.00	0.03	0.00	20.30	440.00	0.00	0.00	0.30	0.00	
2018-01-28 00:00:00+01	0.96	6.40	0.00	2.97	9.80	0.10	4.96	15.70	0.30	195.52	351.00	16.00	247.57	356.00	2.00	250.70	359.00	0.00	5.03	7.30	2.40	1000.26	1005.20	998.20	72.37	83.00	56.10	0.05	0.15	0.00	388.52	1300.00	0.00	0.01	1.10	0.00	
2018-01-29 00:00:00+01	1.21	6.10	0.10	4.27	9.20	1.60	7.53	15.10	2.70	202.39	276.00	99.00	263.09	315.00	229.00	251.70	359.00	0.00	8.52	11.30	6.60	993.93	998.10	988.30	66.12	74.20	58.90	0.01	0.20	0.00	87.04	1890.00	0.00	0.00	0.00	0.00	
2018-01-30 00:00:00+01	1.38	6.50	0.10	4.80	12.70	0.80	8.30	18.90	1.80	211.35	301.00	111.00	272.91	335.00	225.00	237.70	359.00	0.00	5.62	8.50	4.00	993.55	997.60	986.60	54.90	71.60	45.60	0.65	0.80	0.00	1947.70	2300.00	0.00	0.03	7.00	0.00	
2018-01-31 00:00:00+01	0.62	3.90	0.00	1.63	7.10	0.10	2.60	11.60	0.30	189.43	354.00	3.00	232.22	358.00	9.00	235.61	359.00	0.00	3.85	8.00	0.10	990.34	997.40	979.70	54.86	67.90	39.90	0.04	0.80	0.00	101.65	2300.00	0.00	0.00	0.00	0.00	
2018-02-01 00:00:00+01	0.26	2.30	0.00	0.75	3.40	0.10	1.24	4.50	0.20	186.57	358.00	0.00	199.65	359.00	0.00	191.87	359.00	0.00	5.52	9.40	1.80	976.18	978.80	975.10	64.03	81.60	44.00	0.18	2.42	0.00	1202.74	10260.00	0.00	0.10	5.10	0.00	
2018-02-02 00:00:00+01	0.46	2.60	0.00	1.18	5.20	0.10	1.84	7.30	0.30	187.26	357.00	12.00	233.78	358.00	4.00	229.91	359.00	0.00	3.16	4.90	1.00	979.73	980.80	977.20	73.87	80.40	59.00	0.11	2.51	0.00	515.57	11700.00	0.00	0.00	0.20	0.00	
2018-02-03 00:00:00+01	0.29	2.50	0.00	0.79	2.90	0.10	1.31	4.00	0.30	187.78	359.00	0.00	189.17	359.00	2.00	195.87	359.00	0.00	0.55	4.20	-2.00	977.78	980.20	975.20	74.58	79.80	57.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-04 00:00:00+01	0.40	2.70	0.00	1.14	4.40	0.20	1.87	5.60	0.50	229.83	359.00	0.00	217.39	359.00	0.00	151.22	359.00	0.00	0.16	1.70	-1.80	986.05	993.90	978.50	73.53	81.20	57.60	0.00	0.00	0.00	3.30	10.00	0.00	0.00	0.00	0.00	
2018-02-05 00:00:00+01	0.58	3.80	0.00	1.75	5.30	0.20	2.92	9.10	0.50	255.70	359.00	0.00	258.04	359.00	0.00	117.74	359.00	0.00	-1.61	0.40	-5.30	996.73	997.70	994.20	56.79	73.10	45.80	0.00	0.00	0.00	0.43	10.00	0.00	0.00	0.00	0.00	
